"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"        High school graduate or higher","36,807,284","±34,218","89.0%","±0.1","18,080,253","±20,653","87.7%","±0.1","18,727,031","±16,821","90.4%","±0.1"
"        Bachelor's degree or higher","15,444,650","±93,869","37.4%","±0.2","6,951,895","±45,788","33.7%","±0.2","8,492,755","±50,602","41.0%","±0.2"
"    Population 45 to 64 years","83,642,175","±10,770","(X)","(X)","40,816,398","±7,262","(X)","(X)","42,825,777","±6,535","(X)","(X)"
"        High school graduate or higher","74,120,462","±55,440","88.6%","±0.1","35,719,210","±29,273","87.5%","±0.1","38,401,252","±30,453","89.7%","±0.1"
"        Bachelor's degree or higher","26,433,658","±106,042","31.6%","±0.1","12,499,535","±56,481","30.6%","±0.1","13,934,123","±52,797","32.5%","±0.1"
"    Population 65 years and over","52,362,817","±4,792","(X)","(X)","23,264,263","±3,486","(X)","(X)","29,098,554","±3,163","(X)","(X)"
"        High school graduate or higher","44,729,357","±31,821","85.4%","±0.1","20,025,350","±17,113","86.1%","±0.1","24,704,007","±20,088","84.9%","±0.1"
"        Bachelor's degree or higher","14,837,205","±39,435","28.3%","±0.1","7,737,364","±23,359","33.3%","±0.1","7,099,841","±22,808","24.4%","±0.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","162,884,020","±57,821","(X)","(X)","79,295,346","±29,695","(X)","(X)","83,588,674","±31,796","(X)","(X)"
"        High school graduate or higher","147,760,911","±135,953","90.7%","±0.1","71,384,458","±67,330","90.0%","±0.1","76,376,453","±72,627","91.4%","±0.1"
"        Bachelor's degree or higher","56,103,758","±255,712","34.4%","±0.1","26,992,844","±129,372","34.0%","±0.2","29,110,914","±129,226","34.8%","±0.1"
"    White alone, not Hispanic or Latino","143,488,995","±19,004","(X)","(X)","69,705,027","±10,357","(X)","(X)","73,783,968","±10,683","(X)","(X)"
"        High school graduate or higher","133,792,320","±76,198","93.2%","±0.1","64,616,281","±39,468","92.7%","±0.1","69,176,039","±40,576","93.8%","±0.1"
"        Bachelor's degree or higher","52,417,384","±213,769","36.5%","±0.1","25,318,210","±110,018","36.3%","±0.2","27,099,174","±106,860","36.7%","±0.1"
"    Black alone","26,605,045","±15,691","(X)","(X)","12,305,375","±9,771","(X)","(X)","14,299,670","±11,699","(X)","(X)"
"        High school graduate or higher","23,057,449","±21,756","86.7%","±0.1","10,497,161","±15,024","85.3%","±0.1","12,560,288","±15,143","87.8%","±0.1"
"        Bachelor's degree or higher","6,005,623","±34,664","22.6%","±0.1","2,407,145","±16,322","19.6%","±0.1","3,598,478","±23,281","25.2%","±0.2"
"    American Indian or Alaska Native alone","1,687,259","±8,414","(X)","(X)","826,691","±5,566","(X)","(X)","860,568","±4,998","(X)","(X)"
"        High school graduate or higher","1,359,833","±6,669","80.6%","±0.2","654,083","±4,677","79.1%","±0.3","705,750","±4,068","82.0%","±0.2"
"        Bachelor's degree or higher","259,243","±4,109","15.4%","±0.2","111,583","±2,620","13.5%","±0.3","147,660","±2,833","17.2%","±0.3"
"    Asian alone","13,025,299","±10,657","(X)","(X)","6,026,629","±7,806","(X)","(X)","6,998,670","±7,362","(X)","(X)"
"        High school graduate or higher","11,369,637","±15,297","87.3%","±0.1","5,365,987","±9,269","89.0%","±0.1","6,003,650","±10,582","85.8%","±0.1"
"        Bachelor's degree or higher","7,162,208","±28,037","55.0%","±0.2","3,440,619","±15,115","57.1%","±0.3","3,721,589","±15,490","53.2%","±0.2"
"    Native Hawaiian and Other Pacific Islander alone","388,491","±3,102","(X)","(X)","191,226","±2,154","(X)","(X)","197,265","±2,344","(X)","(X)"
"        High school graduate or higher","337,408","±3,457","86.9%","±0.6","166,043","±2,318","86.8%","±0.7","171,365","±2,356","86.9%","±0.7"
"        Bachelor's degree or higher","71,224","±2,284","18.3%","±0.6","33,647","±1,508","17.6%","±0.8","37,577","±1,638","19.0%","±0.8"
"    Some other race alone","10,028,622","±55,400","(X)","(X)","5,119,718","±28,477","(X)","(X)","4,908,904","±30,333","(X)","(X)"
"        High school graduate or higher","6,404,088","±35,615","63.9%","±0.2","3,208,193","±20,255","62.7%","±0.2","3,195,895","±20,025","65.1%","±0.2"
"        Bachelor's degree or higher","1,315,460","±13,107","13.1%","±0.1","602,643","±7,878","11.8%","±0.1","712,817","±9,038","14.5%","±0.2"
"    Two or more races","8,218,098","±30,858","(X)","(X)","4,015,568","±18,634","(X)","(X)","4,202,530","±19,589","(X)","(X)"
"        High school graduate or higher","6,984,828","±31,022","85.0%","±0.2","3,363,586","±17,846","83.8%","±0.2","3,621,242","±19,881","86.2%","±0.2"
"        Bachelor's degree or higher","2,438,803","±22,324","29.7%","±0.3","1,098,279","±12,544","27.4%","±0.3","1,340,524","±15,040","31.9%","±0.3"
"    Hispanic or Latino Origin","34,081,107","±4,277","(X)","(X)","17,045,779","±3,614","(X)","(X)","17,035,328","±3,319","(X)","(X)"
"        High school graduate or higher","23,946,894","±58,512","70.3%","±0.2","11,731,807","±30,513","68.8%","±0.2","12,215,087","±32,084","71.7%","±0.2"
"        Bachelor's degree or higher","5,997,480","±54,387","17.6%","±0.2","2,713,564","±26,051","15.9%","±0.2","3,283,916","±31,523","19.3%","±0.2"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","24.1%","±0.1","(X)","(X)","20.5%","±0.1","(X)","(X)","27.9%","±0.1"
"    High school graduate (includes equivalency)","(X)","(X)","13.4%","±0.1","(X)","(X)","11.1%","±0.1","(X)","(X)","15.6%","±0.1"
"    Some college or associate's degree","(X)","(X)","9.4%","±0.1","(X)","(X)","7.3%","±0.1","(X)","(X)","11.1%","±0.1"
"    Bachelor's degree or higher","(X)","(X)","4.3%","±0.1","(X)","(X)","3.9%","±0.1","(X)","(X)","4.7%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","42,002","±71","(X)","(X)","49,592","±160","(X)","(X)","35,468","±60","(X)","(X)"
"        Less than high school graduate","25,351","±49","(X)","(X)","30,083","±71","(X)","(X)","19,011","±76","(X)","(X)"
"        High school graduate (includes equivalency)","32,002","±33","(X)","(X)","38,484","±83","(X)","(X)","25,642","±44","(X)","(X)"
"        Some college or associate's degree","38,258","±59","(X)","(X)","46,620","±95","(X)","(X)","31,738","±38","(X)","(X)"
"        Bachelor's degree","56,152","±91","(X)","(X)","69,326","±230","(X)","(X)","47,709","±85","(X)","(X)"
"        Graduate or professional degree","75,328","±114","(X)","(X)","93,923","±266","(X)","(X)","63,781","±139","(X)","(X)"
